"LogD","All_fragments","Counts","All_fragments_h","AMW","SMILES_H"
1.037,"*Nc1cccc(OC)c1",1,"COc1cccc(N)c1",123.15499999999999,"[H]c1c([H])c(OC([H])([H])[H])c([H])c(N([H])[H])c1[H]"
-0.924,"*C(C(C)=O)C(=O)OC",1,"COC(=O)CC(C)=O",116.116,"[H]C([H])([H])OC(=O)C([H])([H])C(=O)C([H])([H])[H]"
-1.551,"*C(=O)C(*)C(C)=O",1,"CC(=O)CC=O",86.08999999999999,"[H]C(=O)C([H])([H])C(=O)C([H])([H])[H]"
1.812,"*C(=O)c1ccc(C(*)=O)c(NC(=O)Cc2cccs2)c1",1,"O=Cc1ccc(C=O)c(NC(=O)Cc2cccs2)c1",273.313,"[H]C(=O)c1c([H])c([H])c(C([H])=O)c(N([H])C(=O)C([H])([H])c2sc([H])c([H])c2[H])c1[H]"
2.692,"*Nc1ccc(N(CC)CC)cc1C",1,"CCN(CC)c1ccc(N)c(C)c1",178.27899999999997,"[H]c1c([H])c(N(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])c([H])c(C([H])([H])[H])c1N([H])[H]"
1.602,"*CC(=O)c1ccc(OC)c(CSCC(=O)O)c1",1,"COc1ccc(C(C)=O)cc1CSCC(=O)O",254.30699999999996,"[H]OC(=O)C([H])([H])SC([H])([H])c1c([H])c(C(=O)C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]"
2.772,"*c1sc2c(c1C#N)CCCC2",1,"N#Cc1csc2c1CCCC2",163.24499999999995,"[H]c1sc2c(c1C#N)C([H])([H])C([H])([H])C([H])([H])C2([H])[H]"
1.338,"*Nc1ccc(C(=O)OCC(=O)NCc2ccco2)cc1",1,"Nc1ccc(C(=O)OCC(=O)NCc2ccco2)cc1",274.276,"[H]c1oc(C([H])([H])N([H])C(=O)C([H])([H])OC(=O)c2c([H])c([H])c(N([H])[H])c([H])c2[H])c([H])c1[H]"
1.437,"*C(=O)COC(=O)c1ccc(*)cc1",1,"O=CCOC(=O)c1ccccc1",164.16,"[H]C(=O)C([H])([H])OC(=O)c1c([H])c([H])c([H])c([H])c1[H]"
1.518,"*CC(=O)Nc1c(Cl)cccc1Cl",1,"CC(=O)Nc1c(Cl)cccc1Cl",204.056,"[H]c1c([H])c(Cl)c(N([H])C(=O)C([H])([H])[H])c(Cl)c1[H]"
-1.187,"*NC1C(=O)N2C(C(*)=O)=C(CO*)CSC12",1,"NC1C(=O)N2C(C=O)=C(CO)CSC12",214.24599999999998,"[H]OC([H])([H])C1=C(C([H])=O)N2C(=O)C([H])(N([H])[H])C2([H])SC1([H])[H]"
0.328,"*Nc1ccc(OCC)c(S(*)(=O)=O)c1",1,"CCOc1ccc(N)cc1[SH](=O)=O",201.24699999999999,"[H]c1c([H])c(N([H])[H])c([H])c(S([H])(=O)=O)c1OC([H])([H])C([H])([H])[H]"
2.326,"*C(=O)c1cccc2c1C(=O)N(c1ccc(OC)cc1)C2",1,"COc1ccc(N2Cc3cccc(C=O)c3C2=O)cc1",267.284,"[H]C(=O)c1c([H])c([H])c([H])c2c1C(=O)N(c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H])C2([H])[H]"
1.515,"*S(=O)(=O)c1ccc(NC(=O)Cc2cccs2)cc1",1,"O=C(Cc1cccs1)Nc1ccc([SH](=O)=O)cc1",281.358,"[H]c1sc(C([H])([H])C(=O)N([H])c2c([H])c([H])c(S([H])(=O)=O)c([H])c2[H])c([H])c1[H]"
0.535,"*N1CCN(C(=O)c2ccco2)CC1",1,"O=C(c1ccco1)N1CCNCC1",180.20699999999997,"[H]c1oc(C(=O)N2C([H])([H])C([H])([H])N([H])C([H])([H])C2([H])[H])c([H])c1[H]"
0.152,"*N(C)CC(=O)NCc1ccco1",1,"CNCC(=O)NCc1ccco1",168.196,"[H]c1oc(C([H])([H])N([H])C(=O)C([H])([H])N([H])C([H])([H])[H])c([H])c1[H]"
0.312,"*c1nnc(CC)s1",1,"CCc1nncs1",114.17299999999997,"[H]c1nnc(C([H])([H])C([H])([H])[H])s1"
1.45,"*c1cccc(C(C)=O)c1",1,"CC(=O)c1ccccc1",120.15099999999995,"[H]c1c([H])c([H])c(C(=O)C([H])([H])[H])c([H])c1[H]"
