SCAFFOLD,AMOUNT,FREQUENCY,DATABASE,DNMT1,LigBuilder,AlvaBuilder
c1cc2c(=NC3CCNCC3)cc(C3CCOCC3)[nH]c2cc1OCCCN1CCCC1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=S(=O)(Nc1ccccc1N1CCCC1)c1ccccc1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1cc2c(=NC3CCNCC3)cc(N3CCNCC3)[nH]c2cc1OCCCN1CCCC1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1cc(-c2cc(=NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3[nH]2)cc[nH]1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=S(=O)(c1ccccc1)N1C(c2ccccc2)C=CCC1c1ccccc1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1c2ccc(OCC3CCN(CCN=c4cc[nH]c5ccccc45)CC3)cc2ncn1CCCc1ccccc1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
c1coc(-c2cc(OC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1c(=Cc2ccccc2)c(=CSc2ccccc2)[nH]n1-c1nc2ccccc2s1,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = missing
O=c1c(=Cc2ccc(-c3ccccc3)o2)sc2nc3cccnc3n12,1,0.134589502,DNMT1,DNMT1 = 1 (0.13%),denovoLig = missing,denovoAlva = 2 (0.04%)
